Domain,Area,Item,Year,Area harvested,Flag,Flag Description,Yield,Production
Crops and livestock products,Afghanistan,"Almonds, in shell",2000,7000.0,E,Estimated value,17143.0,12000.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2001,9000.0,E,Estimated value,16667.0,15000.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2004,12000.0,X,Figure from international organizations,12250.0,14700.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2006,12000.0,A,Official figure,16667.0,20000.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2007,12000.0,A,Official figure,26234.0,31481.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2008,12000.0,A,Official figure,35000.0,42000.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2010,11210.0,A,Official figure,49955.0,56000.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2011,13469.0,A,Official figure,45000.0,60611.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2012,13490.0,A,Official figure,45960.0,62000.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2013,14114.0,A,Official figure,29910.0,42215.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2014,13703.0,A,Official figure,19996.0,27400.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2015,14676.0,A,Official figure,16521.0,24246.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2016,19481.0,A,Official figure,16859.0,32843.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2017,19793.0,A,Official figure,13788.0,27291.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2018,20053.0,A,Official figure,17161.0,34413.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2019,29203.0,A,Official figure,13083.0,38205.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2020,22134.0,A,Official figure,17759.0,39307.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2021,36862.0,A,Official figure,17432.0,64256.0
Crops and livestock products,Afghanistan,"Almonds, in shell",2022,37000.0,A,Official figure,17297.0,64000.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,4000.0,E,Estimated value,6250.0,2500.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2001,1600.0,E,Estimated value,6250.0,1000.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2002,3300.0,E,Estimated value,6061.0,2000.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2003,6800.0,E,Estimated value,6029.0,4100.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,15000.0,E,Estimated value,6000.0,9000.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,16000.0,E,Estimated value,6250.0,10000.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,28000.0,E,Estimated value,6071.0,17000.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,15000.0,E,Estimated value,6000.0,9000.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,17000.0,E,Estimated value,6000.0,10200.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2012,18500.0,E,Estimated value,6757.0,12500.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2013,18500.0,E,Estimated value,6757.0,12500.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,30000.0,E,Estimated value,7167.0,21500.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,25000.0,E,Estimated value,7200.0,18000.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2016,24500.0,E,Estimated value,7075.0,17333.33
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,25220.0,E,Estimated value,7080.0,17855.82
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,25293.0,E,Estimated value,7041.0,17807.76
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,25558.0,E,Estimated value,7030.0,17965.9
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,25357.0,E,Estimated value,7050.0,17876.49
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,25403.0,E,Estimated value,7040.0,17883.38
Crops and livestock products,Afghanistan,Apples,2009,8550.0,A,Official figure,85105.0,72765.0
Crops and livestock products,Afghanistan,Apples,2010,8550.0,A,Official figure,70000.0,59850.0
